gFam;geneID
gfam_12903;CBS168_00218
gfam_12903;CBS495_00217
gfam_12917;CBS127_04891
gfam_12917;CBS130_12429
gfam_12917;CBS495_06041
gfam_12929;CBS127_11624
gfam_12929;CBS130_11168
gfam_12929;CBS168_07980
gfam_13037;CS_13020
gfam_13158;CS_13150
gfam_13177;CH063_07556T0
gfam_13179;CH063_03676T0
gfam_13179;CH063_03717T0
gfam_13180;CH063_00542T0
gfam_13184;CH063_08298T0
gfam_13187;CH063_10908T0
gfam_13187;CH063_13748T0
gfam_13201;CH063_13622T0
gfam_13210;CH063_09376T0
gfam_13218;Cob_00509
gfam_13220;Cob_02803
gfam_13220;Cob_03584
gfam_13226;Cob_10603
gfam_13232;CBS168_10180
gfam_13238;CGGC5_1326
gfam_13238;CGGC5_7237
gfam_13267;CGGC5_5938
gfam_13267;CGGC5_12575
gfam_13268;CGGC5_12576
gfam_13310;GLRG_11227T0
gfam_13312;GLRG_11231T0
gfam_13421;GLRG_06509T0
gfam_13421;CH063_06380T0
gfam_13448;GLRG_08177T0
gfam_13448;CH063_13531T0
gfam_13455;GLRG_00850T0
gfam_13501;Cob_02246
gfam_13501;CGGC5_10269
gfam_13515;Cob_08480
gfam_13515;CGGC5_10402
gfam_13516;Cob_08784
gfam_13516;CGGC5_10406
gfam_13526;CH063_06755T0
gfam_13526;CGGC5_10521
gfam_13546;Cob_05294
gfam_13546;CGGC5_10868
gfam_13550;Cob_12884
gfam_13550;CGGC5_11023
gfam_13581;CGGC5_115
gfam_13583;Cob_01187
gfam_13605;Cob_11150
gfam_13605;CGGC5_1217
gfam_13608;Cob_11133
gfam_13608;CGGC5_12376
gfam_13624;CS_09635
gfam_13624;CGGC5_12664
gfam_13667;CGGC5_13582
gfam_13672;CGGC5_13613
gfam_13674;CGGC5_1365
gfam_13675;Cob_06442
gfam_13675;CGGC5_13689
gfam_13687;CGGC5_13861
gfam_13723;Cob_09751
gfam_13723;CGGC5_14387
gfam_13724;Cob_03005
gfam_13724;CGGC5_1434
gfam_13762;CH063_11023T0
gfam_13762;CGGC5_15066
gfam_13768;CH063_07863T0
gfam_13769;CH063_07664T0
gfam_13769;CGGC5_15224
gfam_13784;Cob_13120
gfam_13866;CH063_05454T0
gfam_13893;Cob_06598
gfam_13893;CGGC5_4515
gfam_13900;Cob_05668
gfam_13900;CGGC5_4663
gfam_13920;CH063_11035T0
gfam_13920;CGGC5_5089
gfam_13941;Cob_11239
